Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Turkey,TUR,2018,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,726000000
Turkey,TUR,2017,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,767000000
Turkey,TUR,2016,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,764000000
Turkey,TUR,2015,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,682000000
Turkey,TUR,2014,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,677000000
Turkey,TUR,2013,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,785000000
Turkey,TUR,2012,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,741000000
Turkey,TUR,2011,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,680000000
Turkey,TUR,2010,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,816000000
Turkey,TUR,2009,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,648000000
Turkey,TUR,2008,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,729000000
Turkey,TUR,2007,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,647000000
Turkey,TUR,2006,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,531000000
Turkey,TUR,2005,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,439000000
Turkey,TUR,2004,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,362000000
Turkey,TUR,2003,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,167000000
Turkey,TUR,2002,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,107000000
Turkey,TUR,2001,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,119000000
Turkey,TUR,2000,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,173000000
Turkey,TUR,1999,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,186000000
Turkey,TUR,1998,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,242000000
Turkey,TUR,1997,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,275000000
Turkey,TUR,1996,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,124000000
Turkey,TUR,2018,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,29000000
Turkey,TUR,2017,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,9000000
Turkey,TUR,2017,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.96156
Turkey,TUR,2016,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.94464
Turkey,TUR,2015,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.8815
Turkey,TUR,2014,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.86077
Turkey,TUR,2013,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.81821
Turkey,TUR,2012,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.83217
Turkey,TUR,2011,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.79988
Turkey,TUR,2010,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.79892
Turkey,TUR,2009,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.8094
Turkey,TUR,2008,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.69292
Turkey,TUR,2007,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.69182
Turkey,TUR,2006,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.55749
Turkey,TUR,2005,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.56931
Turkey,TUR,2004,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.50215
Turkey,TUR,2003,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.46945
Turkey,TUR,2002,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.51294
Turkey,TUR,2001,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.52638
